Precursors,Amounts,Products,Reaction energy (meV/atom)
TiO2 + LiOH + N2H8HPO4,1.0 + 1.0 + 1.0,LiTiPO5 + NH3 + H2O,-544.0468941
Li2O + TiO2 + N2H8HPO4,0.5 + 1.0 + 1.0,LiTiPO5 + NH3 + H2O,-533.5738218
Li4Ti5O12 + LiOH + N2H8HPO4,0.2 + 0.2 + 1.0,LiTiPO5 + NH3 + H2O,-515.3270629
Li2O + Li4Ti5O12 + N2H8HPO4,0.1 + 0.2 + 1.0,LiTiPO5 + NH3 + H2O,-512.8121582
TiO2 + Li2CO3 + N2H8HPO4,1.0 + 0.5 + 1.0,LiTiPO5 + CO2 + NH3 + H2O,-512.2616303
Li4Ti5O12 + Li2CO3 + N2H8HPO4,0.2 + 0.1 + 1.0,LiTiPO5 + CO2 + NH3 + H2O,-508.6032571
Li2TiO3 + Li4Ti5O12 + N2H8HPO4,0.167 + 0.167 + 1.0,LiTiPO5 + NH3 + H2O,-507.3769033
Li2TiO3 + TiO2 + N2H8HPO4,0.5 + 0.5 + 1.0,LiTiPO5 + NH3 + H2O,-506.8872251
TiO2 + NH4H2PO4 + LiOH,1.0 + 1.0 + 1.0,LiTiPO5 + NH3 + H2O,-506.7395722
Li4Ti5O12 + Li3PO4 + N2H8HPO4,0.2 + 0.067 + 0.933,LiTiPO5 + NH3 + H2O,-490.5586708
Li2O + TiO2 + NH4H2PO4,0.5 + 1.0 + 1.0,LiTiPO5 + NH3 + H2O,-490.3359985
Li4Ti5O12 + NH4H2PO4 + LiOH,0.2 + 1.0 + 0.2,LiTiPO5 + NH3 + H2O,-468.5168773
TiO2 + Li2CO3 + NH4H2PO4,1.0 + 0.5 + 1.0,LiTiPO5 + CO2 + NH3 + H2O,-467.8909165
Li2O + Li4Ti5O12 + NH4H2PO4,0.1 + 0.2 + 1.0,LiTiPO5 + NH3 + H2O,-464.5412045
Li4Ti5O12 + Li2CO3 + NH4H2PO4,0.2 + 0.1 + 1.0,LiTiPO5 + CO2 + NH3 + H2O,-460.1921654
Li2TiO3 + Li4Ti5O12 + NH4H2PO4,0.167 + 0.167 + 1.0,LiTiPO5 + NH3 + H2O,-457.788312
Li2TiO3 + TiO2 + NH4H2PO4,0.5 + 0.5 + 1.0,LiTiPO5 + NH3 + H2O,-457.179924
Li4Ti5O12 + Li3PO4 + NH4H2PO4,0.2 + 0.067 + 0.933,LiTiPO5 + NH3 + H2O,-438.6892749
TiO2 + Li3PO4 + N2H8HPO4,1.0 + 0.333 + 0.667,LiTiPO5 + NH3 + H2O,-404.8950871
TiO2 + Li3PO4 + NH4H2PO4,1.0 + 0.333 + 0.667,LiTiPO5 + NH3 + H2O,-344.9858665
TiO2 + P2O5 + LiOH,1.0 + 0.5 + 1.0,LiTiPO5 + H2O,-334.3304717
Li2O + TiO2 + P2O5,0.5 + 1.0 + 0.5,LiTiPO5,-268.1713946
TiO2 + P2O5 + Li2CO3,1.0 + 0.5 + 0.5,LiTiPO5 + CO2,-260.7224925
Li4Ti5O12 + P2O5 + LiOH,0.2 + 0.5 + 0.2,LiTiPO5 + H2O,-232.0374361
Li4Ti5O12 + P2O5 + Li2CO3,0.2 + 0.5 + 0.1,LiTiPO5 + CO2,-215.1874168
Li2O + Li4Ti5O12 + P2O5,0.1 + 0.2 + 0.5,LiTiPO5,-214.9696319
Li2TiO3 + Li4Ti5O12 + P2O5,0.167 + 0.167 + 0.5,LiTiPO5,-201.0417911
Li2TiO3 + TiO2 + P2O5,0.5 + 0.5 + 0.5,LiTiPO5,-199.7869908
Li4Ti5O12 + P2O5 + Li3PO4,0.2 + 0.467 + 0.067,LiTiPO5,-180.1193103
TiO2 + P2O5 + Li3PO4,1.0 + 0.333 + 0.333,LiTiPO5,-93.91978699
