Precursors,Amounts,Products,Reaction energy (meV/atom)
Na2O + TeO2 + MoO2 + O2,1.0 + 3.0 + 3.0 + 1.5,Na2Te3Mo3O16,-289.7160912306409
Na2O2 + TeO2 + MoO2 + O2,1.0 + 3.0 + 3.0 + 1.0,Na2Te3Mo3O16,-263.09130530492973
NaOH + TeO2 + MoO2 + O2,2.0 + 3.0 + 3.0 + 1.5,Na2Te3Mo3O16 + H2O,-245.81568783112618
TeO2 + MoO2 + Na2TeO3 + O2,2.0 + 3.0 + 1.0 + 1.5,Na2Te3Mo3O16,-192.05525065653205
Na2CO3 + TeO2 + MoO2 + O2,1.0 + 3.0 + 3.0 + 1.5,Na2Te3Mo3O16 + CO2,-189.5950280457117
Na2O2 + TeO2 + MoO2 + MoO3,1.0 + 3.0 + 1.0 + 2.0,Na2Te3Mo3O16,-162.44059268739886
Na2O2 + TeO2 + MoO2 + N2H8MoO4,1.0 + 3.0 + 1.0 + 2.0,Na2Te3Mo3O16 + H2O + NH3,-152.11570594268863
Na2O + TeO2 + N2H8MoO4,1.0 + 3.0 + 3.0,Na2Te3Mo3O16 + H2O + NH3,-139.96285804567444
Na2O + TeO2 + MoO3,1.0 + 3.0 + 3.0,Na2Te3Mo3O16,-138.74002230434445
NaOH + TeO2 + N2H8MoO4,2.0 + 3.0 + 3.0,Na2Te3Mo3O16 + H2O + NH3,-127.69533817514112
Na2O2 + TeO2 + N2H8MoO4,1.0 + 3.0 + 3.0,Na2Te3Mo3O16 + O2 + H2O + NH3,-126.53255252390238
TeO2 + MoO2 + Na2MoO4 + O2,3.0 + 2.0 + 1.0 + 1.0,Na2Te3Mo3O16,-113.42062854580726
NaOH + TeO2 + MoO3,2.0 + 3.0 + 3.0,Na2Te3Mo3O16 + H2O,-111.61473767441854
Na2O2 + TeO2 + MoO3,1.0 + 3.0 + 3.0,Na2Te3Mo3O16 + O2,-107.63062692348768
Na2CO3 + TeO2 + N2H8MoO4,1.0 + 3.0 + 3.0,Na2Te3Mo3O16 + CO2 + H2O + NH3,-102.39604127170487
TeO2 + Na2TeO3 + N2H8MoO4,2.0 + 1.0 + 3.0,Na2Te3Mo3O16 + H2O + NH3,-98.84250411973328
TeO2 + Na2MoO4 + N2H8MoO4,3.0 + 1.0 + 2.0,Na2Te3Mo3O16 + H2O + NH3,-74.02665719879819
Na2CO3 + TeO2 + MoO3,1.0 + 3.0 + 3.0,Na2Te3Mo3O16 + CO2,-55.39407788900475
TeO2 + MoO2 + Na2Mo2O7 + O2,3.0 + 1.0 + 1.0 + 0.5,Na2Te3Mo3O16,-45.02639968260147
TeO2 + MoO3 + Na2TeO3,2.0 + 3.0 + 1.0,Na2Te3Mo3O16,-41.07918173023584
TeO2 + N2H8MoO4 + Na2Mo2O7,3.0 + 1.0 + 1.0,Na2Te3Mo3O16 + H2O + NH3,-40.63426186871722
TeO2 + MoO3 + Na2MoO4,3.0 + 2.0 + 1.0,Na2Te3Mo3O16,-12.769915928275699
TeO2 + MoO3 + Na2Mo2O7,3.0 + 1.0 + 1.0,Na2Te3Mo3O16,5.2989566261645304
