Precursors,Amounts,Products,Reaction energy (meV/atom)
Y2O3 + BaO2 + CuCO3,0.5 + 2.0 + 3.0,Y Ba2 Cu3 O6.5 + O2 + CO2,-684.5725652364363
Y2O3 + BaO + CuCO3,0.5 + 2.0 + 3.0,Y Ba2 Cu3 O6.5 + CO2,-667.0656866322632
BaO2 + CuCO3 + Y2Cu2O5,2.0 + 2.0 + 0.5,Y Ba2 Cu3 O6.5 + O2 + CO2,-594.9394718943933
Y2C3O9 + BaO2 + CuCO3,0.5 + 2.0 + 3.0,Y Ba2 Cu3 O6.5 + O2 + CO2,-591.8966565917668
Y2O3 + BaCO3 + CuCO3,0.5 + 2.0 + 3.0,Y Ba2 Cu3 O6.5 + CO2,-591.6435099886954
Y2C3O9 + BaO + CuCO3,0.5 + 2.0 + 3.0,Y Ba2 Cu3 O6.5 + CO2,-570.2908986194966
BaO + CuCO3 + Y2Cu2O5,2.0 + 2.0 + 0.5,Y Ba2 Cu3 O6.5 + CO2,-564.9035758579735
Y2C3O9 + BaCO3 + CuCO3,0.5 + 2.0 + 3.0,Y Ba2 Cu3 O6.5 + CO2,-523.6202383188247
BaCO3 + CuCO3 + Y2Cu2O5,2.0 + 2.0 + 0.5,Y Ba2 Cu3 O6.5 + CO2,-505.2653230803248
Y2O3 + BaO2 + Cu2O,0.5 + 2.0 + 1.5,Y Ba2 Cu3 O6.5 + O2,-349.35609165570236
Y2O3 + CuCO3 + BaCuO2,0.5 + 1.0 + 2.0,Y Ba2 Cu3 O6.5 + CO2,-341.4777402074023
BaO2 + Cu2O + Y2Cu2O5,2.0 + 1.0 + 0.5,Y Ba2 Cu3 O6.5 + O2,-333.26235403557945
Y2O3 + BaO + BaO2 + Cu2O,0.5 + 0.5 + 1.5 + 1.5,Y Ba2 Cu3 O6.5,-328.41947491267877
Y2O3 + BaO2 + BaCO3 + Cu2O,0.5 + 1.5 + 0.5 + 1.5,Y Ba2 Cu3 O6.5 + CO2,-327.66532156659946
Y2O3 + BaO2 + CuO,0.5 + 2.0 + 3.0,Y Ba2 Cu3 O6.5 + O2,-304.7134840321355
BaO2 + CuO + Y2Cu2O5,2.0 + 2.0 + 0.5,Y Ba2 Cu3 O6.5 + O2,-304.6105285591877
BaO2 + BaCO3 + Cu2O + Y2Cu2O5,1.0 + 1.0 + 1.0 + 0.5,Y Ba2 Cu3 O6.5 + CO2,-296.15563872882353
BaO + BaO2 + Cu2O + Y2Cu2O5,1.0 + 1.0 + 1.0 + 0.5,Y Ba2 Cu3 O6.5,-290.1016215399221
Y2C3O9 + CuCO3 + BaCuO2,0.5 + 1.0 + 2.0,Y Ba2 Cu3 O6.5 + CO2,-288.9278037363989
Y2C3O9 + BaO2 + Cu2O,0.5 + 2.0 + 1.5,Y Ba2 Cu3 O6.5 + O2 + CO2,-287.27315960213497
Y2C3O9 + BaO2 + BaCO3 + Cu2O,0.5 + 1.5 + 0.5 + 1.5,Y Ba2 Cu3 O6.5 + CO2,-274.2143569430049
Y2C3O9 + BaO + BaO2 + Cu2O,0.5 + 0.5 + 1.5 + 1.5,Y Ba2 Cu3 O6.5 + CO2,-270.0526198777473
